customer_id,customer_name,city,signup_date
1,Ikbal Ganesan,Pune,2024-10-15
2,Sneha Murty,Mumbai,2025-09-15
3,Vasana Mangal,Pune,2025-11-26
4,Aryan Hayer,Delhi,2024-04-21
5,Vedika Kale,Mumbai,2024-09-19
6,Samar Iyer,Mumbai,2024-10-25
7,Zehaan Hegde,Pune,2025-10-06
8,Nandini Nath,Mumbai,2025-08-25
9,Nandini Mohan,Mumbai,2025-11-25
10,Baghyawati Bala,Delhi,2024-03-02
11,Barkha Mandal,Delhi,2025-07-11
12,Chakrika Master,Delhi,2025-12-04
13,Keya Bawa,Pune,2024-02-08
14,Yug Bahl,Mumbai,2024-06-16
15,Damini Upadhyay,Delhi,2025-10-16
16,Oscar Nagarajan,Delhi,2024-06-25
17,Manbir Narasimhan,Pune,2025-11-08
18,Indrajit Chakrabarti,Pune,2025-12-26
19,Warjas Subramanian,Pune,2025-03-18
20,David Pingle,Mumbai,2024-02-10
21,Aayush Swaminathan,Pune,2025-06-25
22,Jhalak Gulati,Delhi,2024-07-16
23,Ekanta Tandon,Delhi,2024-02-19
24,Alka Kibe,Pune,2024-06-30
25,Viraj Roy,Pune,2025-06-11
26,Saumya Chaudhuri,Mumbai,2025-11-15
27,Gayathri Misra,Pune,2024-08-25
28,Gautam Karnik,Mumbai,2025-01-07
29,Abeer Oza,Delhi,2024-12-30
30,Caleb Kannan,Mumbai,2025-07-11
31,Vedika Mody,Pune,2024-01-16
32,Jagat Dani,Mumbai,2024-07-06
33,Onveer Sharaf,Mumbai,2024-10-18
34,Isha Narain,Mumbai,2025-12-26
35,Wridesh Kara,Delhi,2024-10-13
36,Yuvraj Sarkar,Mumbai,2024-04-10
37,Adya Aggarwal,Mumbai,2024-07-24
38,Chakradhar Dora,Mumbai,2025-09-12
39,Theodore Mistry,Delhi,2024-10-22
40,Advaith Keer,Delhi,2024-02-01
41,Ekani Bhatt,Delhi,2024-10-24
42,Girindra Chokshi,Delhi,2025-10-14
43,Zaitra Sule,Delhi,2025-01-10
44,Qadim Vala,Delhi,2025-04-07
45,Gautami Jha,Pune,2024-06-30
46,Harish Bakshi,Mumbai,2024-06-29
47,Keya Memon,Pune,2024-11-04
48,Kalpit Chatterjee,Delhi,2024-03-16
49,Nikita Tara,Delhi,2024-06-11
50,Radha Roy,Pune,2024-09-30
51,Oeshi Sant,Delhi,2024-12-06
52,Omya Mall,Delhi,2025-12-27
53,Jeevika Nair,Mumbai,2025-11-01
54,Veer Date,Mumbai,2025-01-22
55,Mohammed Tara,Mumbai,2025-04-14
56,Yashodhara Reddy,Mumbai,2024-06-29
57,Girik Vala,Mumbai,2024-11-05
58,Zehaan Sankar,Delhi,2024-11-15
59,Daniel Kulkarni,Delhi,2025-06-03
60,Qadim Ram,Delhi,2024-01-13
61,Geetika Balasubramanian,Pune,2025-02-01
62,Jacob Malhotra,Pune,2025-09-03
63,Oni Dixit,Mumbai,2025-02-11
64,Rajata Patla,Delhi,2025-07-11
65,Gauri Thakkar,Pune,2025-11-04
66,Anika Jha,Mumbai,2025-10-14
67,Wazir Bahl,Delhi,2024-02-02
68,Zilmil Deo,Delhi,2025-02-14
69,Anita Rai,Delhi,2025-06-09
70,Warhi Wason,Mumbai,2025-11-20
71,Faqid Ramanathan,Mumbai,2024-11-30
72,Adweta Varma,Delhi,2025-06-29
73,Chaitaly Ben,Delhi,2025-02-22
74,Raksha Saraf,Mumbai,2024-04-06
75,Pranav Rai,Pune,2025-01-20
76,Nitesh Sarkar,Delhi,2024-12-28
77,Yashica Chad,Mumbai,2025-06-03
78,Finn Pandey,Mumbai,2025-09-09
79,Varenya Handa,Delhi,2025-05-09
80,Aashi Bhatti,Delhi,2024-04-29
81,Tripti Brar,Pune,2024-07-12
82,Janani Dugar,Delhi,2025-03-28
83,Samaksh Rajagopalan,Mumbai,2024-12-02
84,Triveni Walia,Mumbai,2025-07-15
85,Omya Khanna,Delhi,2025-11-26
86,Veda Andra,Mumbai,2025-09-26
87,Zehaan Shankar,Mumbai,2024-07-19
88,Balhaar Mahajan,Delhi,2024-01-15
89,Yashoda Rajagopalan,Pune,2025-09-22
90,Elijah Mahajan,Mumbai,2025-08-04
91,Theodore Murthy,Pune,2024-03-03
92,Gauri Sur,Pune,2025-12-31
93,Ekaraj Singhal,Delhi,2024-10-30
94,Wakeeta Bhargava,Mumbai,2025-07-04
95,Ekavir Sandhu,Mumbai,2025-09-23
96,Aishani Mittal,Mumbai,2024-07-07
97,Jagat Dewan,Pune,2024-05-08
98,Triya Dhaliwal,Pune,2024-07-31
99,Jagrati Arora,Mumbai,2025-11-27
100,Yashodhara Sahota,Mumbai,2024-03-04
101,Upkaar Bhakta,Delhi,2025-02-05
102,Aayush Malhotra,Mumbai,2024-04-23
103,Avi Sodhi,Mumbai,2025-08-19
104,Raagini Master,Mumbai,2025-02-07
105,Triya Saini,Mumbai,2025-04-10
106,Vasudha Jayaraman,Mumbai,2025-03-07
107,Jagvi Ranganathan,Delhi,2024-02-23
108,Nakul Pal,Delhi,2025-08-09
109,Tarak Mahajan,Mumbai,2024-11-24
110,George Narain,Pune,2024-09-25
111,Ishwar Contractor,Pune,2024-10-17
112,Anmol Pradhan,Pune,2025-10-28
113,Mohini Gara,Pune,2025-12-23
114,Omisha Dalal,Pune,2025-06-25
115,Rajata Jhaveri,Delhi,2024-01-04
116,Kashvi Sarraf,Pune,2025-12-26
117,Avni Batra,Pune,2024-10-20
118,Jeet Bedi,Delhi,2024-02-02
119,Abeer Mane,Mumbai,2024-04-18
120,Arya Hari,Mumbai,2024-06-25
121,Lakshit Bhatia,Pune,2025-06-08
122,Girish Pillai,Delhi,2024-06-24
123,Jai Venkatesh,Delhi,2024-08-31
124,Dhruv Sandhu,Mumbai,2024-10-23
125,Oeshi Kohli,Mumbai,2024-03-09
126,Aarnav Mody,Pune,2024-06-23
127,Lohit Oza,Mumbai,2024-04-13
128,Isha Borra,Delhi,2025-09-02
129,Idika Suri,Pune,2024-07-16
130,Vansha Sankar,Delhi,2024-03-12
131,Onkar Krishna,Pune,2024-03-24
132,Sudiksha Ahluwalia,Mumbai,2025-11-05
133,Abdul Bumb,Mumbai,2025-04-29
134,Samuel Baria,Mumbai,2025-10-01
135,Deepa Salvi,Pune,2025-04-08
136,Idika Sekhon,Mumbai,2024-10-07
137,Ayushman Anne,Delhi,2024-07-25
138,Jagdish Bail,Pune,2024-01-16
139,Yachana Dhingra,Delhi,2025-08-30
140,Daksh Magar,Mumbai,2025-02-27
141,Abdul Sur,Mumbai,2025-07-25
142,Jackson Sharaf,Delhi,2024-08-19
143,Vanya Trivedi,Delhi,2025-04-20
144,Jhalak Pal,Mumbai,2025-04-26
145,Gaurav Vaidya,Pune,2025-08-04
146,Widisha Das,Delhi,2024-07-30
147,Anvi Thakur,Mumbai,2024-09-29
148,Omisha Vyas,Pune,2025-08-20
149,Nisha Kashyap,Delhi,2025-04-28
150,Hemangini Karnik,Delhi,2025-03-24
151,Rajata Dutta,Pune,2024-04-07
152,Anusha Keer,Delhi,2024-09-20
153,Meera Kara,Mumbai,2024-08-03
154,Divya Zacharia,Mumbai,2024-05-03
155,Ojas Chakrabarti,Delhi,2025-03-25
156,Anita Banik,Mumbai,2025-09-30
157,Harsh Chaudhary,Delhi,2025-10-04
158,Zashil Wagle,Delhi,2024-08-03
159,Upma Garg,Delhi,2024-09-28
160,Laksh Dugal,Delhi,2024-04-08
161,Ishwar Nagar,Delhi,2025-05-19
162,Mitesh Kaul,Pune,2025-10-18
163,Bhavya Varma,Delhi,2024-10-25
164,Amrita Lalla,Pune,2025-08-23
165,Omya Patla,Delhi,2025-12-10
166,Watika Varughese,Delhi,2024-01-09
167,Tanveer Jain,Mumbai,2024-11-02
168,Manan Ratti,Delhi,2024-12-26
169,Veer Dass,Mumbai,2025-12-12
170,Dhriti Natarajan,Mumbai,2025-01-17
171,Zashil De,Delhi,2025-09-29
172,Devansh Narang,Delhi,2024-05-21
173,Utkarsh Nanda,Mumbai,2024-11-19
174,Aayush Mallick,Delhi,2025-08-25
175,Amol Das,Delhi,2025-07-17
176,Arunima Narasimhan,Pune,2024-08-09
177,Veda Bhatia,Mumbai,2024-08-31
178,Samesh Patel,Pune,2025-09-15
179,Nandini Gupta,Mumbai,2025-09-20
180,Wahab Mani,Mumbai,2024-04-12
181,Gayathri Brar,Delhi,2024-03-13
182,Onveer Borde,Mumbai,2024-12-02
183,Oeshi Parekh,Mumbai,2025-04-13
184,Yashasvi Ratti,Pune,2024-01-16
185,Yamini Panchal,Pune,2025-02-13
186,Hredhaan Rao,Delhi,2024-05-11
187,Alka Gokhale,Pune,2025-02-10
188,Hiral Brar,Mumbai,2025-12-08
189,Jairaj Handa,Delhi,2024-09-27
190,Gabriel Karnik,Pune,2025-03-15
191,Brijesh Nadkarni,Mumbai,2025-10-20
192,Harini Kulkarni,Pune,2024-07-03
193,Yuvraj Mittal,Pune,2025-03-01
194,Hredhaan Lata,Delhi,2024-08-14
195,Sathvik Dua,Mumbai,2025-08-01
196,Aarnav Deol,Pune,2025-12-02
197,Suhani Dutt,Pune,2025-10-23
198,Zayyan Shukla,Delhi,2025-09-30
199,Qadim Thaman,Mumbai,2024-07-04
200,Amruta Tak,Pune,2025-11-04
201,Nakul Dua,Mumbai,2025-02-08
202,Kalpit Bakshi,Delhi,2024-06-17
203,Advika Varughese,Pune,2025-05-02
204,Advika Om,Pune,2025-06-05
205,Lakshmi Lala,Pune,2024-07-06
206,Ucchal Mahajan,Delhi,2025-07-30
207,Rayaan Nath,Mumbai,2024-10-07
208,Amol Bajaj,Delhi,2025-05-20
209,Chandresh Virk,Pune,2025-12-06
210,Ria Dalal,Mumbai,2024-12-11
211,Arin Borde,Delhi,2025-09-16
212,Jagat Varty,Pune,2024-04-24
213,Chatresh Bawa,Pune,2024-05-21
214,Gavin Rout,Mumbai,2024-04-04
215,Henry Lall,Mumbai,2025-10-21
216,Pushti Sant,Delhi,2024-06-14
217,Sanya Dara,Mumbai,2025-06-05
218,Dipta Sharaf,Pune,2025-08-14
219,Nikita Bawa,Mumbai,2025-04-23
220,Nathan Sane,Pune,2025-08-30
221,Jack Dada,Pune,2025-05-05
222,Jairaj Bandi,Mumbai,2025-09-12
223,Inaya Comar,Delhi,2024-05-14
224,Kashvi Goswami,Pune,2025-02-27
225,Ranbir Das,Pune,2024-06-21
226,Ekavir Hari,Pune,2025-03-31
227,Xiti Saran,Mumbai,2024-07-16
228,Chakrika Misra,Pune,2025-05-22
229,Laban Garde,Pune,2025-09-09
230,Darika Khatri,Mumbai,2024-01-20
231,Abeer Raju,Mumbai,2024-07-22
232,Oliver Chowdhury,Delhi,2025-04-24
233,Kashvi Chokshi,Pune,2025-11-10
234,Vedika Roy,Delhi,2025-12-24
235,Dalbir Jaggi,Mumbai,2025-02-18
236,Saksham Varma,Pune,2024-03-18
237,Advika Nazareth,Pune,2024-08-10
238,Vasatika Dasgupta,Pune,2024-02-20
239,Adweta Bhatnagar,Pune,2024-07-06
240,Kalpit Kohli,Pune,2025-06-10
241,Sathvik Rana,Delhi,2025-03-01
242,Kala Deshmukh,Delhi,2024-10-06
243,Qarin Sinha,Delhi,2025-12-24
244,Unnati Rout,Delhi,2024-06-27
245,Anjali Tripathi,Delhi,2025-05-18
246,Farhan Vyas,Delhi,2024-11-30
247,Qabil Bora,Delhi,2025-11-30
248,Omaja Karan,Pune,2024-01-28
249,Victor Sahota,Pune,2025-09-23
250,Arjun Sha,Delhi,2025-11-15
251,Gayathri Som,Pune,2025-04-07
252,Thomas Agate,Delhi,2024-01-11
253,Widisha Raghavan,Delhi,2024-05-30
254,Reyansh Padmanabhan,Delhi,2024-02-02
255,Panini Kumar,Delhi,2025-05-07
256,Varenya Goel,Pune,2025-11-07
257,Frado Badal,Mumbai,2025-01-30
258,Falan Bakshi,Delhi,2025-04-16
259,Nidhi Bhatti,Delhi,2025-01-07
260,Ladli Suri,Pune,2025-08-21
261,Bachittar Khanna,Mumbai,2024-07-20
262,Ria Mital,Mumbai,2025-01-07
263,Jhalak Kota,Mumbai,2024-02-01
264,Chaman Padmanabhan,Mumbai,2024-08-10
265,Leela Raghavan,Pune,2025-10-25
266,Atharv Kalla,Mumbai,2025-06-02
267,Aditya Sankaran,Mumbai,2024-03-14
268,Yuvraj Shukla,Delhi,2024-06-13
269,Charvi Pillay,Pune,2025-11-01
270,Chanchal Sathe,Delhi,2025-12-23
271,Tristan Oommen,Pune,2025-04-30
272,Kritika Jhaveri,Mumbai,2025-04-05
273,Chandani Konda,Pune,2025-09-06
274,Jagdish Mistry,Mumbai,2024-08-11
275,Lila Kurian,Pune,2025-10-09
276,Falguni Shanker,Pune,2024-02-06
277,Jalsa Bera,Mumbai,2025-12-17
